Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG,Date
Asian Paints,2771.25,48.78,265817.62,0.93,1275.30,0.38,8730.76,-0.64,37.51,14.29,56.92,31.45,0.13,45.52,2.38,2024-05-10
Apollo Hospitals,5842.45,106.65,84005.52,0.26,254.40,59.80,4850.60,13.77,14.50,12.92,54.89,13.71,0.75,39.67,1.59,2024-05-10
Adani Ports,1266.75,32.54,273635.67,0.47,2014.77,2.53,6896.50,18.97,12.92,5.11,37.55,17.09,0.93,31.99,2.07,2024-05-10
Adani Enterp.,2797.25,86.02,318886.81,0.05,352.25,-41.62,29180.02,0.82,10.17,8.19,28.43,10.27,1.67,35.46,1.94,2024-05-10
TCS,3893.90,30.32,1408847.11,1.39,12502.00,9.15,61237.00,3.51,64.28,15.60,126.88,51.51,0.09,30.04,3.69,2024-05-10
Sun Pharma.Inds.,1530.00,39.22,367171.37,0.75,2560.54,19.23,12380.70,10.14,16.44,6.14,37.12,16.55,0.03,34.68,1.49,2024-05-13
O N G C,266.85,7.32,335829.03,4.22,10748.46,-9.91,165569.06,-2.15,13.92,1.08,33.34,14.13,0.46,16.67,0.63,2024-05-13
Wipro,451.95,21.40,236321.32,0.22,2858.20,-7.80,22208.30,-4.23,17.15,3.17,21.14,14.51,0.22,29.87,5.13,2024-05-13
UltraTech Cem.,9551.50,39.06,275654.85,0.40,2258.58,38.68,20418.94,9.41,15.26,4.58,242.65,12.32,0.19,29.16,1.62,2024-05-13
Titan Company,3253.65,82.59,288744.83,0.31,771.00,5.62,12494.00,20.60,22.70,30.75,39.38,32.91,1.65,24.62,4.08,2024-05-13
Tech Mahindra,1262.05,52.26,123209.06,2.54,664.20,-40.86,12871.30,-6.17,11.89,4.62,24.14,8.64,0.10,29.87,-4.65,2024-05-13
Tata Steel,163.85,105.70,204416.61,2.20,522.14,139.90,55311.88,-3.10,12.63,2.26,-2.74,7.28,1.01,16.52,39.44,2024-05-13
Tata Motors,959.75,10.93,351871.54,0.21,17528.59,213.80,119986.31,13.27,20.11,3.76,94.47,49.44,1.26,30.86,0.12,2024-05-13
Tata Consumer,1096.95,76.09,104569.14,0.77,212.26,24.51,3926.94,8.52,10.86,6.51,12.07,8.50,0.22,33.28,2.77,2024-05-13
